subnet,country,datacenter,proxy_type
91.225.154.19/32,ROC,,
91.225.154.20/30,ROC,,
91.225.154.24/29,ROC,,
91.225.154.32/27,ROC,,
91.225.154.64/26,ROC,,
91.225.154.128/25,ROC,,
91.225.155.0/24,ROC,,
91.234.98.0/24,ROC,,
91.235.12.0/22,ROC,,
91.235.84.0/22,ROC,,
91.236.114.0/24,ROC,,
91.236.134.0/23,ROC,,
91.237.182.0/23,ROC,,
91.238.74.0/23,ROC,,
91.241.130.0/25,ROC,,
91.241.137.0/24,ROC,,
91.241.138.0/24,ROC,,
91.241.139.0/24,ROC,,
91.241.144.0/25,ROC,,
91.241.145.0/24,ROC,,
91.241.147.0/24,ROC,,
91.241.156.0/26,ROC,,
91.241.156.64/27,ROC,,
91.241.156.96/29,ROC,,
91.241.156.104/32,ROC,,
91.241.156.106/31,ROC,,
91.241.156.108/30,ROC,,
91.241.156.112/28,ROC,,
91.241.156.128/25,ROC,,
91.241.157.0/24,ROC,,
91.244.152.0/22,ROC,,
91.244.233.15/32,ROC,,
91.247.112.0/22,ROC,,
91.247.116.0/23,ROC,,
91.247.118.0/24,ROC,,
91.247.120.0/22,ROC,,
92.51.4.0/25,ROC,,
92.51.4.128/25,ROC,,
92.51.5.0/25,ROC,,
92.51.5.128/25,ROC,,
92.118.200.0/22,ROC,,
92.242.40.0/24,ROC,,
93.77.94.0/24,ROC,,
93.77.160.0/25,ROC,,
93.77.160.128/25,ROC,,
93.77.161.0/24,ROC,,
93.77.162.0/23,ROC,,
93.77.164.0/22,ROC,,
93.77.168.0/21,ROC,,
93.77.176.0/20,ROC,,
93.190.176.0/24,ROC,,
93.190.177.0/24,ROC,,
93.190.178.0/24,ROC,,
93.190.179.0/24,ROC,,
93.190.180.0/22,ROC,,
94.126.24.0/21,ROC,,
95.47.54.0/23,ROC,,
95.47.137.0/25,ROC,,
95.47.137.128/26,ROC,,
95.47.137.192/27,ROC,,
95.47.137.224/31,ROC,,
95.47.137.226/32,ROC,,
95.47.137.228/30,ROC,,
95.47.137.232/29,ROC,,
95.47.137.240/28,ROC,,
95.130.229.0/24,ROC,,
95.130.230.0/24,ROC,,
95.215.112.0/21,ROC,,
109.200.128.0/20,ROC,,
109.200.144.0/21,ROC,,
109.200.152.0/22,ROC,,
109.200.156.0/24,ROC,,
109.200.157.0/24,ROC,,
109.200.158.0/24,ROC,,
109.200.159.0/24,ROC,,
130.255.132.0/24,ROC,,
130.255.133.0/24,ROC,,
146.120.240.0/24,ROC,,
176.98.48.0/22,ROC,,
176.99.103.0/24,ROC,,
176.99.104.0/21,ROC,,
176.99.112.0/21,ROC,,
176.99.120.0/22,ROC,,
176.99.126.0/23,ROC,,
176.101.184.0/21,ROC,,
176.108.184.0/24,ROC,,
176.108.185.0/24,ROC,,
176.108.186.0/24,ROC,,
176.108.187.0/24,ROC,,
176.108.188.0/24,ROC,,
176.108.189.0/24,ROC,,
176.108.190.0/23,ROC,,
176.109.8.0/22,ROC,,
176.109.12.0/22,ROC,,
176.114.32.0/27,ROC,,
176.114.32.32/28,ROC,,
176.114.32.48/29,ROC,,
176.114.32.56/30,ROC,,
176.114.32.61/32,ROC,,
